Desecrated Legplates {'avg': 2000.0, '2025-06-09.2': 2000.0, 'var': 0, 'stdev': 0}
Kingsfall {'avg': 18000.0, '2025-06-09.2': 18000.0, 'var': 0, 'stdev': 0}
Granite Ring of the Bear {'avg': 3.0, '2025-06-09.2': 3.0, 'var': 0, 'stdev': 0}
Splinter of Atiesh {'avg': 7200.0, '2025-06-09.2': 7200.0, 'var': 0, 'stdev': 0}
The Plague Bearer {'avg': 2500.0, '2025-06-09.2': 2500.0, 'var': 0, 'stdev': 0}
Hammer of the Twisting Nether {'avg': 10000.0, '2025-06-09.2': 10000.0, 'var': 0, 'stdev': 0}
Wristguards of Vengeance {'avg': 14000.0, '2025-06-09.2': 14000.0, 'var': 0, 'stdev': 0}
Word of Thawing {'avg': 600.0, '2025-06-09.2': 600.0, 'var': 0, 'stdev': 0}
Boots of Displacement {'avg': 2000.0, '2025-06-09.2': 2000.0, 'var': 0, 'stdev': 0}
Desecrated Breastplate {'avg': 3000.0, '2025-06-09.2': 3000.0, 'var': 0, 'stdev': 0}
Shroud of Dominion {'avg': 12000.0, '2025-06-09.2': 12000.0, 'var': 0, 'stdev': 0}
Ring of Redemption {'avg': 3500.0, '2025-06-09.2': 3500.0, 'var': 0, 'stdev': 0}
Desecrated Wristguards {'avg': 2000.0, '2025-06-09.2': 2000.0, 'var': 0, 'stdev': 0}
